Time, DurationAdd, BiFlowsIn, SocketsIn, SocketsOut, FlowsBiMonitored, FlowsBiNotMonitored, BytesBiMonitored, BytesBiNotMonitored, FlowsUniOutMonitored, FlowsUniOutNotMonitored, BytesUniOutMonitored, BytesUniOutNotMonitored, FlowsUniInMonitored, FlowsUniInNotMonitored, BytesUniInMonitored, BytesUniInNotMonitored, FlowsBiNMOutHighInHigh, FlowsBiNMOutHighInLow, FlowsBiNMOutLowInLow, FlowsBiNMOutLowInHigh, BytesBiNMOutHighInHigh, BytesBiNMOutHighInLow, BytesBiNMOutLowInLow, BytesBiNMOutLowInHigh, FlowsUniOutNMOutHighInHigh, FlowsUniOutNMOutHighInLow, FlowsUniOutNMOutLowInLow, FlowsUniOutNMOutLowInHigh, BytesUniOutNMOutHighInHigh, BytesUniOutNMOutHighInLow, BytesUniOutNMOutLowInLow, BytesUniOutNMOutLowInHigh, FlowsUniInNMOutHighInHigh, FlowsUniInNMOutHighInLow, FlowsUniInNMOutLowInLow, FlowsUniInNMOutLowInHigh, BytesUniInNMOutHighInHigh, BytesUniInNMOutHighInLow, BytesUniInNMOutLowInLow, BytesUniInNMOutLowInHigh,
1288583410, 3, 1687462, 472524, 259997, 383189, 302743, 8353672602, 47307244015, 231865, 202819, 5142056407, 6258520856, 202819, 450255, 527079725, 3491314536, 142118, 89795, 24314, 13750, 38655033316, 38655033316, 11864463, 2401685234, 130118, 33110, 13835, 9896, 4172874188, 313227866, 7719526, 1632729593, 66024, 293133, 15384, 14045, 1615896397, 657030790, 9660154, 401471295,
1288583711, 3, 1711389, 467949, 274431, 389216, 294689, 7357798544, 34446632963, 230875, 202785, 5292981392, 11372984543, 202785, 472283, 1498738518, 1441805036, 137886, 86295, 23471, 13223, 25150287593, 25150287593, 12096081, 2849950287, 129377, 32727, 13044, 11499, 6802573772, 589522540, 9864505, 3927838675, 65663, 313725, 15105, 17071, 527060709, 519526105, 17870172, 14724786,
1288584012, 2, 1812479, 478285, 287313, 411068, 300095, 9539834521, 41155598681, 227338, 209134, 6096835414, 5678264985, 209134, 538541, 1374954556, 3095986709, 139715, 89491, 23914, 14329, 32020772018, 32020772018, 12488549, 2899940969, 131428, 34061, 13760, 13146, 3830484202, 395234463, 6970352, 1300840197, 66652, 382227, 14126, 14907, 880752573, 1458612178, 13864774, 83475917,
1288584313, 3, 2020439, 504661, 388327, 460476, 323183, 9112523147, 38292416976, 249242, 235782, 4851562871, 10809673156, 235782, 569571, 854823685, 3693230320, 145504, 103439, 24618, 15796, 29322212522, 29322212522, 13172744, 3551326511, 151588, 40467, 13655, 11765, 6304848139, 498012583, 7618734, 3961647705, 133174, 336367, 15193, 15442, 1567020993, 851971349, 11213658, 449002313,
1288584614, 2, 1915855, 468918, 414858, 436002, 328568, 7230798553, 34825431698, 236946, 213195, 7019759812, 6148144350, 213195, 491066, 1112129131, 1697917608, 145615, 113546, 24386, 13343, 22841573329, 22841573329, 13036626, 2714198544, 136182, 37180, 13070, 10027, 4277154070, 407388306, 7752338, 1325503575, 67047, 325900, 14393, 14838, 462097633, 780552246, 17504576, 60321906,
1288584915, 3, 1994612, 457051, 347192, 397604, 308986, 11382704256, 50325571824, 216457, 206261, 4529375643, 10791245588, 206261, 675965, 848553057, 2797587325, 137939, 99906, 23870, 14299, 41707681382, 41707681382, 15101093, 3259761408, 129947, 35054, 13464, 10716, 5792889848, 886740834, 7214953, 4066505060, 66390, 510659, 14125, 14749, 793125500, 1255422471, 11801881, 53951686,
1288585216, 3, 1799467, 430303, 342481, 371699, 297593, 8100308379, 64476000636, 211689, 204708, 6741395780, 5504385460, 204708, 525218, 1533657518, 3505745850, 136029, 90882, 24665, 13893, 52375788132, 52375788132, 12707652, 4541072765, 128984, 35393, 13695, 10013, 4026369814, 349905596, 9290889, 1058272786, 68567, 337061, 14916, 14799, 1492080071, 873311588, 14720859, 381008422,
1288585517, 3, 1839964, 435130, 350181, 378934, 292548, 9212734688, 34763368408, 221382, 208246, 4294319991, 10013472066, 208246, 554709, 799684955, 1891280818, 133032, 90713, 23710, 13143, 23988792387, 23988792387, 10185775, 5002695532, 130132, 34494, 13277, 14143, 5277841996, 472784941, 7990485, 4211396655, 115699, 321218, 14653, 15007, 479411151, 896428560, 13696392, 22064159,
1288585818, 3, 1699641, 446266, 255392, 356875, 298305, 9665893249, 29842634547, 223039, 210915, 6722108198, 5491902671, 210915, 489586, 866158719, 2947181207, 134897, 92620, 23563, 15026, 19504237114, 19504237114, 12889385, 3492845657, 135621, 33579, 12846, 11618, 4182163942, 488519275, 7590710, 781495953, 71693, 308414, 14578, 20135, 818703938, 1374723664, 15385022, 34268010,
1288586120, 3, 1800946, 443870, 285999, 367916, 297914, 7267861660, 26105681372, 234627, 230974, 5624011974, 10795933120, 230974, 542994, 1354272552, 3627831790, 130306, 93583, 24910, 15522, 14384648354, 14384648354, 13251070, 4176479557, 139203, 33665, 13791, 21716, 5136664262, 523986477, 7162161, 5085928627, 130866, 310147, 15426, 19959, 1626735445, 838347238, 10270816, 317243013,
