BiFlowCache STAT 1288605301, 0, 15, 21408688, 14424372, 6106867, 6106867, 8310053, 12116966, 6385898, 12116966, 36473443, 50474160, 13180278, 410223395, 372929513, 
BiFlowCache STAT 1288605601, 0, 15, 21859258, 14791339, 6412175, 6412175, 8379702, 12274390, 6254751, 12274390, 36473443, 50474160, 13365761, 416635571, 379527172, 
BiFlowCache STAT 1288605901, 0, 15, 21888799, 14870566, 6355480, 6355480, 8517076, 12485506, 6144364, 12485506, 36473443, 50474160, 13150024, 422991050, 385666914, 
BiFlowCache STAT 1288606201, 0, 17, 21799379, 14832632, 6306454, 6306454, 8527329, 12404685, 6387275, 12404685, 36473443, 50474160, 12897064, 429297513, 391720417, 
BiFlowCache STAT 1288606501, 0, 15, 21708942, 14683435, 6343773, 6343773, 8351190, 12374251, 6374207, 12374251, 36473443, 50474160, 12939195, 435641279, 398106314, 
BiFlowCache STAT 1288606801, 0, 16, 21829511, 14716838, 6252123, 6252123, 8458259, 12317594, 6308780, 12317594, 36473443, 50474160, 12941821, 441893403, 404361064, 
BiFlowCache STAT 1288607101, 0, 17, 22158701, 14854573, 6399380, 6399380, 8453590, 12389124, 6327850, 12389124, 36473443, 50474160, 12686800, 448292787, 410505427, 
BiFlowCache STAT 1288607401, 0, 15, 22000291, 14836841, 6417152, 6417152, 8410984, 12530821, 6275455, 12530821, 36473443, 50474160, 12656929, 454709932, 416892701, 
BiFlowCache STAT 1288607701, 0, 16, 22428931, 15106863, 6503135, 6503135, 8621476, 12626410, 6407546, 12626410, 36473443, 50474160, 12528000, 461213067, 423266907, 
BiFlowCache STAT 1288608001, 0, 18, 21648338, 14654740, 6226732, 6226732, 8411683, 12429145, 6423997, 12429145, 36473443, 50474160, 12610048, 467439798, 429575686, 
BiFlowCache STAT 1288608301, 0, 15, 21649329, 14622724, 6234817, 6234817, 8401527, 12187504, 6476458, 12187504, 36473443, 50474160, 6375227, 473674619, 429575686, 
BiFlowCache STAT 1288608601, 0, 15, 21229265, 14353024, 6102121, 6102121, 8239365, 12042673, 6246952, 12042673, 36473443, 50474160, 6600953, 479776742, 435903535, 
BiFlowCache STAT 1288608901, 0, 15, 20719727, 14013349, 5964233, 5964233, 8050160, 11775503, 6231403, 11775503, 36473443, 50474160, 6912177, 485740972, 442178989, 
BiFlowCache STAT 1288609201, 0, 15, 21259278, 14309171, 6201501, 6201501, 8109894, 11903667, 6073337, 11903667, 36473443, 50474160, 7118223, 491942471, 448586534, 
BiFlowCache STAT 1288609501, 0, 15, 20540008, 13934316, 5917242, 5917242, 8016609, 11833566, 5987343, 11833566, 36473443, 50474160, 7624975, 497859715, 455010530, 
BiFlowCache STAT 1288609801, 0, 18, 20719756, 14107663, 6009941, 6009941, 8091706, 11660752, 6182755, 11660752, 36473443, 50474160, 8091491, 503869656, 461486987, 
BiFlowCache STAT 1288610101, 0, 16, 20779799, 14072758, 6086920, 6086920, 8001637, 11817435, 5930237, 11817435, 36473443, 50474160, 8251523, 509956575, 467733938, 
BiFlowCache STAT 1288610401, 0, 14, 21199345, 14413799, 5996128, 5996128, 8407926, 11819495, 5994068, 11819495, 36473443, 50474160, 8486794, 515952706, 473965340, 
BiFlowCache STAT 1288610701, 0, 15, 20749831, 13923816, 5962427, 5962427, 7959981, 11690957, 6090965, 11690957, 36473443, 50474160, 8597706, 521915130, 480038676, 
BiFlowCache STAT 1288611001, 0, 15, 21169342, 14385142, 6276374, 6276374, 8120476, 11969387, 5997944, 11969387, 36473443, 50474160, 8308676, 528191502, 486026018, 
BiFlowCache STAT 1288611301, 0, 15, 21815162, 14712299, 6438538, 6438538, 8260882, 12437804, 5970121, 12437804, 36473443, 50474160, 8052891, 534630041, 492208772, 
BiFlowCache STAT 1288611601, 0, 15, 21828814, 14815761, 6438936, 6438936, 8385493, 12588050, 6288690, 12588050, 36473443, 50474160, 7544190, 541068978, 498139008, 
BiFlowCache STAT 1288611901, 1, 15, 21949530, 14854996, 6404892, 6404892, 8451681, 12552694, 6440248, 12552694, 36473443, 50474160, 1139300, 547473868, 498139008, 
BiFlowCache STAT 1288612201, 0, 15, 22098935, 14920455, 6537244, 6537244, 8385998, 12625538, 6464400, 12625538, 36473443, 50474160, 596114, 554011121, 504133075, 
BiFlowCache STAT 1288612501, 1, 15, 21889015, 14912396, 6281137, 6281137, 8630341, 12516664, 6390011, 12516664, 36473443, 50474160, 405945, 560292254, 510224039, 
