# CESNET
128.151.65.101/32, planetlab, planet1.cs.rochester.edu
128.151.65.102/32, planetlab, planet2.cs.rochester.edu
# Basel
192.43.193.72/32, planetlab, planetlab-2.cs.unibas.ch
192.43.193.71/32, planetlab, planetlab-1.cs.unibas.ch
# University of Konstanz
134.34.246.4/32, planetlab, dannan.disy.inf.uni-konstanz.de
134.34.246.5/32, planetlab, chronos.disy.inf.uni-konstanz.de
# Trinity College Dublin
134.226.52.35/32, planetlab, planetlab02.cs.tcd.ie
134.226.52.34/32, planetlab, planetlab01.cs.tcd.ie
# UNIPR
160.78.253.32/32, planetlab, planet2.unipr.it
160.78.253.31/32, planetlab, planet1.unipr.it
# NICT
202.249.37.69/32, planetlab, planetlab2.koganei.wide.ad.jp
122.1.115.91/32, planetlab, planetlab1.nvlab.org
202.249.37.67/32, planetlab, planetlab1.koganei.wide.ad.jp
# University of South Florida
131.247.2.241/32, planetlab, planetlab1.csee.usf.edu
131.247.2.242/32, planetlab, planetlab2.csee.usf.edu
131.247.2.248/32, planetlab, planetlab6.csee.usf.edu
131.247.2.245/32, planetlab, planetlab4.csee.usf.edu
131.247.2.246/32, planetlab, planetlab5.csee.usf.edu
131.247.2.247/32, planetlab, planetlab3.csee.usf.edu
# ETH Zuerich - CS
192.33.90.67/32, planetlab, planetlab2.inf.ethz.ch
192.33.90.66/32, planetlab, planetlab1.inf.ethz.ch
192.33.90.68/32, planetlab, planetlab3.inf.ethz.ch
192.33.90.69/32, planetlab, planetlab4.inf.ethz.ch
# Facultad de Ingenieria - Univ. de la Republica
164.73.47.242/32, planetlab, planetlab-1.fing.edu.uy
164.73.47.244/32, planetlab, planetlab-2.fing.edu.uy
# Doshisha University
202.23.184.247/32, planetlab, nis-planet1.doshisha.ac.jp
202.23.184.248/32, planetlab, nis-planet2.doshisha.ac.jp
# NEU
129.10.120.193/32, planetlab, planetlabone.ccs.neu.edu
129.10.120.194/32, planetlab, planetlabtwo.ccs.neu.edu
# Victoria
142.104.21.237/32, planetlab, pl5.planetlab.uvic.ca
142.104.21.243/32, planetlab, pl2.planetlab.uvic.ca
142.104.21.245/32, planetlab, pl1.planetlab.uvic.ca
142.104.21.241/32, planetlab, pl3.planetlab.uvic.ca
142.104.21.239/32, planetlab, pl4.planetlab.uvic.ca
# University of Central Florida
132.170.3.32/32, planetlab, planetlab1.eecs.ucf.edu
132.170.3.33/32, planetlab, planetlab2.eecs.ucf.edu
# University of Goettingen
134.76.81.91/32, planetlab, planetlab1.informatik.uni-goettingen.de
134.76.81.92/32, planetlab, planetlab2.informatik.uni-goettingen.de
# University of Lisbon
194.117.20.214/32, planetlab, planetlab-1.di.fc.ul.pt
194.117.20.215/32, planetlab, planetlab-2.di.fc.ul.pt
# Space Monitoring Data Center SINP MSU
213.131.1.102/32, planetlab, plab-2.sinp.msu.ru
213.131.1.101/32, planetlab, plab-1.sinp.msu.ru
# EPS
150.244.58.159/32, planetlab, ops.ii.uam.es
150.244.58.161/32, planetlab, utet.ii.uam.es
# Shanghai Jiaotong University
202.112.28.100/32, planetlab, planetlab-2.sjtu.edu.cn
202.112.28.98/32, planetlab, planetlab-1.sjtu.edu.cn
# Kookmin University
210.123.39.102/32, planetlab, netapp6.cs.kookmin.ac.kr
210.123.39.103/32, planetlab, netapp7.cs.kookmin.ac.kr
210.123.39.168/32, planetlab, dplab03.kookmin.ac.kr
# UC Riverside
138.23.204.133/32, planetlab, planet-lab1.cs.ucr.edu
138.23.204.232/32, planetlab, planet-lab2.cs.ucr.edu
# UT Dallas
129.110.125.51/32, planetlab, planetlab1.utdallas.edu
129.110.125.52/32, planetlab, planetlab2.utdallas.edu
# Wroclaw University of Technology
156.17.10.51/32, planetlab, planetlab1.ci.pwr.wroc.pl
156.17.10.52/32, planetlab, planetlab2.ci.pwr.wroc.pl
# ADETTI/ISCTE
193.136.191.25/32, planetlab, planetlab-1.iscte.pt
193.136.191.26/32, planetlab, planetlab-2.iscte.pt
# CWI
145.99.179.147/32, planetlab, 147-179.surfsnel.dsl.internl.net
145.99.179.146/32, planetlab, 146-179.surfsnel.dsl.internl.net
# NETMODE Lab of NTUA
147.102.224.228/32, planetlab, stella.planetlab.ntua.gr
147.102.224.227/32, planetlab, vicky.planetlab.ntua.gr
# ATT
204.178.4.163/32, planetlab, planet1.att.nodes.planet-lab.org
204.178.4.164/32, planetlab, planet2.att.nodes.planet-lab.org
# TAMU
165.91.83.23/32, planetlab, planetlab2.tamu.edu
165.91.83.22/32, planetlab, planetlab1.tamu.edu
# Cleveland State University
137.148.16.11/32, planetlab, planetlab2.csuohio.edu
137.148.16.10/32, planetlab, planetlab1.csuohio.edu
# Fraunhofer Institut
131.246.191.45/32, planetlab, planetlab5.itwm.fraunhofer.de
131.246.191.44/32, planetlab, planetlab4.itwm.fraunhofer.de
131.246.191.43/32, planetlab, planetlab3.itwm.fraunhofer.de
131.246.191.41/32, planetlab, planetlab1.itwm.fhg.de
131.246.191.42/32, planetlab, planetlab2.itwm.fhg.de
# IRP
12.108.127.136/32, planetlab, planet1.pittsburgh.intel-research.net
12.108.127.138/32, planetlab, planet3.pittsburgh.intel-research.net
12.108.127.137/32, planetlab, planet2.pittsburgh.intel-research.net
# Harvard
140.247.60.123/32, planetlab, lefthand.eecs.harvard.edu
140.247.60.126/32, planetlab, righthand.eecs.harvard.edu
# Purdue
128.10.19.52/32, planetlab, planetlab1.cs.purdue.edu
128.10.19.53/32, planetlab, planetlab2.cs.purdue.edu
# Torino
130.192.157.131/32, planetlab, planetlab1.di.unito.it
130.192.157.132/32, planetlab, planetlab2.di.unito.it
# Colorado State University
129.82.12.187/32, planetlab, planetlab-1.cs.colostate.edu
129.82.12.188/32, planetlab, planetlab-2.cs.colostate.edu
# Cincinnati
129.137.253.253/32, planetlab, planetlab1.uc.edu
129.137.253.252/32, planetlab, planetlab2.uc.edu
# Cambridge
128.232.103.201/32, planetlab, planetlab1.xeno.cl.cam.ac.uk
128.232.103.203/32, planetlab, planetlab3.xeno.cl.cam.ac.uk
128.232.103.202/32, planetlab, planetlab2.xeno.cl.cam.ac.uk
# Kansas
129.237.161.193/32, planetlab, kupl1.ittc.ku.edu
129.237.161.194/32, planetlab, kupl2.ittc.ku.edu
# Darmstadt University of Technology
130.83.166.198/32, planetlab, host1.planetlab.informatik.tu-darmstadt.de
130.83.166.200/32, planetlab, host3.planetlab.informatik.tu-darmstadt.de
130.83.166.199/32, planetlab, host2.planetlab.informatik.tu-darmstadt.de
# Ericsson Eurolab
# UCSB
128.111.52.64/32, planetlab, planet4.cs.ucsb.edu
128.111.52.61/32, planetlab, planet1.cs.ucsb.edu
